2961_13488_000000	subito ouço bater á porta da sala vou abrir era um anjinho de cinco annos entra sára disse sabina
2961_13488_000505	e uma voz que me perguntava porque diabo seria minha uma moeda que eu não herdara nem ganhara mas sómente achara na rua evidentemente não era minha era de outro daquelle que a perdera rico ou pobre
2961_13488_000506	o epitaphio diz tudo vale mais do que se lhes narrasse a molestia de nhã loló a morte o desespero da familia o enterro
2961_13488_000507	o embrulho resistiu relanceei os olhos em volta de mim a praia estava deserta ao longe uns meninos brincavam um pescador curava as redes ainda mais longe ninguem que pudesse ver a minha acção inclinei-me apanhei o embrulho e segui
2961_13488_000508	lavaram se arearam se poliram se as salas escadas castiçaes arandellas as vastas mangas de vidro todos os apparelhos do luxo classico
2961_13488_000509	que foi a minha invenção que me matou ha demonstrações menos lúcidas e não menos triumphantes não era impossivel entretanto que eu chegasse a galgar o cimo de um seculo e a figurar nas folhas publicas entre macrobios tinha saude e robustez
2961_13488_000510	a imaginação dessa senhora tambem voou por sobre os destroços presentes até ás ribas de uma africa juvenil deixal-a ir lá iremos mais tarde
2961_13488_000511	tu enxugas as lagrimas de um pae tu captas a indulgencia de um propheta e se a dôr adormece e se a consciencia se accommoda a quem senão a ti deverão esse immenso beneficio
2961_13488_000512	por que entrou aqui viu-me da rua porguntou ella saindo daquella especie de torpor não suppunha entrar n'uma casa de relojoeiro queria comprar um vidro para este relogio vou a outra parte desculpe-me tenho pressa
2961_13488_000513	mas a pequena hontem veiu pedir-me com voz muito humilde imagine o que que queria offerecel os a santa marcella coitadinha disse marcella beijando-a é um namoro uma paixão como a senhora não imagina a mãe diz que é feitiço
2961_13488_000514	no nosso caso houve quasi um disturbio á porta do meu cerebro porque a adventicia não queria entregar a casa e a dona não cedia da intenção de tomar o que era seu
2961_13488_000515	e talvez mau tanoeiro ao passo que o luiz cubas estudou em coimbra primou no estado e foi um dos amigos particulares do vice-rei conde da cunha
2961_13488_000516	então considerei que as botas apertadas são uma das maiores venturas da terra porque fazendo doer os pés dão azo ao prazer de as descalçar
2961_13488_000517	a imaginação della como as cegonhas que um illustre viajante viu desferirem o vôo desde o illysso ás ribas africanas sem embargo das ruinas e dos tempos
2961_13488_000518	divida pobre eugenia se tu soubesses que idéas me vagavam pela mente fóra n'aquella occasião tu tremula de commoção com os braços nos meus hombros a contemplar em mim o teu bemvindo esposo
2961_13488_000519	e o homem nu e desarmado armava se e vestia-se construia o tugurio e o palacio a rude aldêa e thebas de cem portas creava a sciencia que perscruta e a arte que enleva
2961_13488_000520	e como eu nada dissesse continuou faz bem em fugir ao ridículo de casar commigo ia dizer-lhe que não ella retirou-se lentamente engolindo as lagrimas
2961_13488_000521	e alguma devoção devoção ou talvez medo creio que medo ahi tem o leitor em poucas linhas o retrato physico e moral da pessoa que devia influir mais tarde na minha vida era aquillo com dezeseis annos tu que me lês
2961_13488_000522	a meio caminho chamaram lhe linda marcella lembrou-me que ouvira tal nome a meu tio joão e fiquei confesso que fiquei tonto tres dias depois perguntou-me meu tio em segredo se queria ir a uma ceia de moças nos cajueiros fomos era em casa de marcella
2961_13488_000523	disse isto puxou-a para si ella resistiu um pouco mas deixou-se ir uniram os rostos e eu ouvi estalar muito ao de leve um beijo o mais medroso dos beijos
2961_13488_000524	lembra-me como se fosse hontem lembra-me de o ver erguer-se com a sua longa cabelleira de rabicho casaca de seda uma esmeralda no dedo pedir a meu tio padre que lhe repetisse o mote e repetido o mote cravar os olhos na testa de uma senhora depois
2961_13488_000525	decida o leitor entre o militar e o conego eu volto ao emplasto capitulo iii genealogia mas já que fallei nos meus dous tios deixem-me fazer aqui um curto esboço genealogico
2961_13488_000526	saiu virgilia deixou-se estar de pé durante algum tempo ficamos a olhar um para o outro sem articular palavra quem diria de dous grandes namorados de duas paixões sem freio nada mais havia alli vinte annos depois
2961_13488_000527	porque a sciencia é mais lenta e a imaginação mais vaga emquanto que o que eu alli via era a condensação viva de todos os tempos para descrevel a seria preciso fixar o relampago
2961_13488_000528	vós que o conhecestes meus senhores vós podeis dizer commigo que a natureza parece estar chorando a perda irreparavel de um dos mais bellos caracteres que tem honrado a humanidade
2961_13488_000529	pantano eu deixo me estar entre o poeta e o sabio viva pois a historia a voluvel historia que dá para tudo e tornando á idéa fixa direi que é ella a que faz os varões fortes e os doudos a idéa mobil vaga ou furta cor é a que faz os claudios
2961_13488_000530	não teve força para obstar que elle viesse a publico enxovalhar o cunhado devia ser mui poderoso o motivo da declaração que o fazia commetter ao mesmo tempo um destempero e uma ingratidão confesso que era um problema insoluvel capitulo cxlix theoria do
2961_13488_000531	e nisso é que a familia não interveiu cresci naturalmente como crescem as magnolias e os gatos talvez os gatos são menos matreiros e com certeza as magnolias são menos inquietas do que eu era na minha infancia
2961_13488_000532	é muito esperto o seu menino commentavam os ouvintes muito esperto concordava meu pae e os olhos babavam se lhe de orgulho e elle espalmava a mão sobre a minha cabeça fitava me longo tempo namorado cheio de si
2961_13488_000533	destacou-se da terra não sei sei que um vulto immenso uma figura de mulher me appareceu então fitando me uns olhos rutilantes como o sol
2961_13488_000534	claudio que era um verdadeiro banana ou uma abobora como lhe chamou seneca e um tito que mereceu ser as delicias de roma veiu modernamente um professor e achou meio de demonstrar que ambos esses conceitos eram erroneos e abstrusos e que dos dous cesares
2961_13488_000535	e menos ainda daquella morte creio até que esta me pareceu ainda mais absurda que todas as outras mortes o quincas borba porém explicou-me que as epidemias eram uteis á especie embora desastrosas para uma certa porção de indivíduos
2961_13488_000536	de noite no dia seguinte em toda aquella semana pensei o menos que pude nos cinco contos e até confesso que os deixei muito quietinhos na gaveta da secretaria
2961_13488_000537	seria curioso mas nimiamente extenso e aliás desnecessario ao entendimento da obra a obra em si mesma é tudo se te agradar fino leitor pago me da tarefa se te não agradar pago te com um piparote e adeus braz cubas
2961_13488_000538	onze amigos verdade é que não houve cartas nem annuncios accresce que chovia peneirava uma chuvinha miuda triste e constante
2961_13488_000539	estabeleci que o modo de compensar uma janella fechada é abrir outra afim de que a moral possa arejar continuamente a consciencia talvez não entendas o que ahi fica talvez queiras uma cousa mais concreta um embrulho por exemplo um embrulho mysterioso
2961_13488_000540	entrei a saccar sobre a herança de meu pae a assignar obrigações que devia resgatar um dia com usura na verdade dizia-me marcella quando eu lhe levava alguma seda alguma joia na verdade você quer brigar commigo pois isto é cousa que se faça um presente tão caro
2961_13488_000541	as gerações que se superpunham ás gerações umas tristes como os hebreus do captiveiro outras alegres como os devassos de commodo e todas ellas pontuaes na sepultura
2961_13488_000542	que á força de persuadir os outros da nossa nobreza acabara persuadindo se a si proprio nutria contra elle um odio puramente mental era isso motivo de renhidas contendas em nossa casa porque meu tio joão
2961_13488_000543	ella ia abrir-me caminho para tornar á sala eu segurei lhe nas mãos puxei a para mim e dei-lhe um beijo não sei se ella disse alguma cousa se gritou se chamou alguem não sei nada sei que desci outra vez as escadas veloz como um tufão e incerto como um ebrio
2961_13488_000544	quanto a este motivo da minha descida não ha duvidar que ella o achou e m'o disse foi na varanda na tarde de uma segunda-feira ao annunciar lhe que na seguinte manhã viria para baixo adeus suspirou ella estendendo me a mão com simplicidade faz bem
2961_13488_000545	não posso descrever a impressão que lhe fez a denuncia lembra-me que elle estremeceu e ficou muito pallido foi por esse tempo que eu me reconciliei outra vez com o cotrim sem chegar a saber a causa do dissentimento
2961_13488_000546	estendeu as mãos tomou das minhas conchegou me ao seio e sussurrou me baixo ao ouvido nunca nunca meu amor eu agradeci lho com os olhos humidos no dia seguinte levei lhe o collar que havia recusado para te lembrares de mim quando nos separarmos disse eu
2961_13488_000547	não houve cadeirinha que não trabalhasse aventou se muita casaca e muito calção e se hão conto os mimos os beijos as admirações as bençãos é porque se os contasse não acabaria mais o capitulo e é preciso acabal o
2961_13488_000548	se não contei a morte não conto igualmente a missa do setimo dia a tristeza do damasceno era profunda esse pobre homem parecia uma ruina
2961_13488_000549	nossas relações até então tinham sido lhanas e benevolas não me lembrava nenhum dissentimento nenhuma sombra nada depois da reconciliação ao contrario as recordações eram de verdadeiros obsequios
2961_13488_000550	mirava se todo nos carões alegres nos pratos nas flores deliciava se com a familiaridade travada entre os mais distantes espiritos influxo de um bom jantar
2961_13488_000551	uma egualdade de palavra e de espirito uma dominação sobre si mesma que pareciam e talvez fossem raras como tocassemos casualmente n'uns amores illegitimos meio secretos meio divulgados
2961_13488_000552	as pretas com uma tanga no ventre a arregaçar lhes um palmo dos vestidos umas dentro do tanque outras fóra inclinadas sobre as peças de roupa a batel as a ensaboal as a torcel as
2961_13488_000553	o peor é que era coxa uns olhos tão lúcidos uma boca tão fresca uma compostura tão senhoril e coxa
2961_13488_000554	para poucos o duarte por exemplo o alferes duarte que ella amára devéras dous annos antes só a custo conseguia dar-lhe alguma cousa de valor como me acontecia a mim ella só lhe aceitava sem reluctancia os mimos de escasso preço como a cruz de ouro que lhe deu uma vez de festas esta
2961_13488_000555	no momento em que eu terminava o meu movimento de rotação concluia o lobo neves o seu movimento de translação morria com o pé na escada ministerial correu ao menos durante algumas semanas que elle ia ser ministro e pois que o boato
2961_13488_000556	assim por exemplo sendo eu deputado pude obter lhe uns fornecimentos para o arsenal de marinha fornecimentos que elle continuava a fazer com a maior
2961_13488_000557	espreitava os meus mais reconditos pensamentos não havia desejo a que não acudisse com alma sem esforço por uma especie de lei da consciencia e necessidade do coração nunca o desejo era razoavel mas um capricho puro uma criancice vel-a trajar de certo modo com taes e taes enfeites
2961_13488_000558	recitava me longos capitulos do livro e antiphonas e litanias espirituaes chegou até a reproduzir uma dansa sacra que inventara para as ceremonias do humanitismo a graça lugubre com que elle levantava e sacudia as pernas era singularmente fantastica
2961_13488_000559	desde o magnifico leito de cleopatra até o recanto da praia em que o mendigo tirita o seu somno cruzavam-se nelle pensamentos de varia casta e feição
2961_13488_000560	cinco contos em boas notas e dobras tudo aceiadinho e arranjadinho um achado raro embrulhei as de novo ao jantar pareceu-me que um dos moleques falara a outro com os olhos ter me iam espreitado
2961_13488_000561	e é todavia mais do que passatempo e menos do que apostolado vamos lá rectifique o seu nariz e tornemos ao emplasto deixemos a historia com os seus caprichos de dama elegante nenhum de nós pelejou a batalha de salamina nenhum escreveu a confissão
2961_13488_000562	morri de uma pneumonia mas se lhe disser que foi menos a pneumonia do que uma idéa grandiosa e util a causa da minha morte é possivel que o leitor me não creia e todavia é verdade vou expor lhe summariamente o caso julgue o por si mesmo
2961_13488_000563	não respondi nada marcella comprehendeu a causa do meu silencio não era difficil e só hesitou creio eu em decidir o que dominava mais se o assombro do presente se a memoria do passado
2961_13488_000564	de arêa de cromwell assim corre a sorte dos homens com esta reflexão me despedi eu da mulher não direi mais discreta mas com certeza mais formosa entre as contemporaneas suas a anonyma do primeiro capitulo a tal cuja imaginação á semelhança das
2961_13488_000565	que se um dos burros coçar melhor o outro esse ha de ter nos olhos algum indicio especial de satisfação porque é que uma mulher bonita olha muitas vezes para o espelho senão porque se acha bonita e porque isso lhe dá certa superioridade sobre uma multidão de outras mulheres menos bonitas ou
2961_13488_000566	e concluiu que era tudo a expressão daquelle sentimento delicado e nobre prova cabal de que muitas vezes o homem ainda a engraxar botas é sublime capitulo clvii phase brilhante
2961_13488_000567	súbito ouço uma voz olá meu rapaz isto não é vida era meu pae que chegava com duas propostas na algibeira sentei-me no bahú e recebi o sem alvoroço
2961_13488_000568	a vida estrebuchava me no peito com uns impetos de vaga marinha esvaia se me a consciencia eu descia á immobilidade physica e moral e o corpo fazia se me planta e pedra e lodo e cousa nenhuma
2961_13488_000569	uns com suas mulheres e filhas outros sem ellas mas todos commungando no desejo de atolar a memoria de bonaparte no papo de um perú não era um jantar mas um te deum
2961_13488_000570	vae se queres disse-me este mas temporariamente eu trato de annexar á minha philosophia uma parte dogmatica e liturgica o humanitismo ha de ser tambem uma religião a do futuro a unica verdadeira
2961_13488_000571	nem todos os cidadãos que acham bom ou mau um ministerio fazem declarações taes pela imprensa nem são obrigados a fazel as realmente era um mysterio a intrusão do cotrim neste negocio não menos que a sua aggressão pessoal
2961_13488_000572	meu olhar enfarado e distrahido viu emfim chegar o seculo presente e atraz delle os futuros aquelle vinha agil destro vibrante cheio de si um pouco diffuso audaz sabedor
2961_13488_000573	mas devo crer que eram tambem expressões de um espirito robusto porque meu pae tinha-me em grande admiração e se ás vezes me reprehendia á vista de gente fazia-o por simples formalidade em particular dava-me beijos
2961_13488_000574	quem quer que fosse porém o pae lettrado ou hortelão a verdade é que marcella não possuia a innocencia rustica e mal chegava a entender a moral do codigo
2961_13488_000575	tal modo fallei que elle prometteu fazer alguma cousa e creio que o fará quanto á noiva é o nome que dou a uma creaturinha que é uma joia uma flôr uma estrella uma cousa rara
2961_13488_000576	meu pae que me não esperava abraçou-me cheio de ternura e agradecimento agora é devéras disse elle posso emfim deixei-o nessa reticencia e fui descalçar as botas que estavam apertadas
2961_13488_000577	nhonhô diga a estes senhores como é que se chama seu padrinho meu padrinho é o coronel paulo vaz lobo cezar de andrade e souza rodrigues de mattos minha madrinha é a excellentissima senhora d maria luiza de macedo rezende e souza rodrigues de mattos
2961_13488_000578	neste rapaz é que verdadeiramente começa a serie de meus avós dos avós que a minha familia sempre confessou porque o damião cubas era afinal de contas um tanoeiro
2961_13488_000579	era a flôr e não já da eschola senão de toda a cidade a mãe viuva com alguma cousa de seu adorava o filho e trazia o amimado aceiado enfeitado com um vistoso pagem atraz
2961_13488_000580	ao ouvir esta ultima palavra recuei um pouco tomado de susto a figura soltou uma gargalhada que produziu em torno de nós o effeito de um tufão as plantas torceram se e um longo gemido quebrou a mudez das cousas externas
2961_13488_000581	uma vez produzido o effeito essencial isto é uma vez cessada a privação torna o organismo ao estado anterior ao estado indifferente suppõe que tens apertado em demasia o cós das calças para fazer cessar o incommodo desabotôas o cós respiras saboreas um instante de gozo
2961_13488_000582	napoleão quando eu nasci estava já em todo o explendor da gloria e do poder era imperador e grangeára inteiramente a admiração dos homens meu pae
2961_13488_000583	iam ouvindo e redarguindo ás pilherias do tio joão e a commental as de quando em quando com esta palavra cruz diabo este sinhô joão é o diabo
2961_13488_000584	opinião dos outros homens não estragues as vantagens da tua posição os teus meios e foi por deante o magico a agitar deante de mim um chocalho como me faziam em pequeno para eu andar depressa e a flor da hypocondria recolheu-se ao botão para deixar a outra
2961_13488_000585	capitulo xxxv o caminho de damasco ora aconteceu que oito dias depois como eu estivesse no caminho de damasco ouvi uma voz misteriosa que me sussurrou as palavras da escriptura levanta-te e entra na cidade
2961_13488_000586	e vejam agora com que destreza com que fina arte faço eu a maior transição deste livro vejam o meu delirio começou em presença de virgilia virgilia foi o meu grão peccado da juventude
2961_13488_000587	mas dentro em pouco a carreira de tal modo se tornou vertiginosa que me atrevi a interrogal o e com alguma arte lhe disse que a viagem me parecia sem destino engana-se replicou o animal nós vamos á origem dos seculos
2961_13488_000588	viram nenhuma juntura apparente nada que divirta a attenção pausada do leitor nada de modo que o livro fica assim com todas as vantagens do methodo sem a rigidez do methodo
2961_13488_000589	que em vez de estar lançando os alicerces de uma invenção pharmaceutica tratava de colligir os elementos de uma instituição politica ou de uma reforma religiosa vinha a corrente do ar que vence em efficacia o calculo humano e lá se ia tudo um sopro de ar foi portanto o meu
2961_13488_000590	hamlet sem as ancias nem as duvidas do moço principe mas pausado e tropego como quem se retira tarde do expectaculo tarde e aborrecido
2961_13488_000591	o xavier com todos os seus tuberculos presidia ao banquete nocturno em que eu pouco ou nada comi porque só tinha olhos para a dona da casa que gentil que ella estava a hespanhola
2961_13488_000592	marcella suspirou com tristeza a verdade é que eu me sentia pungido e aborrecido ao mesmo tempo e anciava por me ver fóra daquella casa
2961_13488_000593	a estima que passa de chapeu na cabeça não diz nada á alma mas a indifferença que corteja deixa lhe uma deleitosa
2961_13488_000594	trazia a carta comsigo já bastante amarrotada talvez por havel a lido a muitas outras pessoas creio haver dito que era de um dos regentes leu ma duas vezes
2961_13488_000595	manca enlevado é uma maneira de realçar o estylo não havia enlevo mas gosto uma certa satisfação physica e moral queria-lhe é verdade ao pé dessa creatura tão singela filha espuria e coxa feita de amor e desprezo ao pé della sentia-me bem
2961_13488_000596	veiu por alli fóra modesta e negra espairecendo as suas borboletices sob a vasta cupula de um céo azul que é sempre azul para todas as azas
2961_13488_000597	esse contraste faria suspeitar que a natureza é ás vezes um immenso escarneo porque bonita se coxa porque coxa se bonita
2961_13488_000598	era um simples gracejo que o nosso amor não precisava de tão vulgar estimulo não lhe perdôo se você fizer de mim essa triste idéa concluiu ameaçando me com o dedo e logo subita como um passarinho espalmou as mãos cingiu me com ellas o rosto
2961_13488_000599	podia expliquei-lhe que não me convinha mendigar uma cadeira no parlamento que a minha idéa era derrubar o ministerio por não me parecer adequado á situação e a certa fórmula
2961_13488_000600	naquelle anno morria ella de amores por um certo xavier sujeito abastado e tisico uma perola vi-a pela primeira vez no rocio grande na noite das luminarias logo que constou a declaração da independencia uma festa de primavera um amanhecer da alma publica
2961_13488_000601	sorriu o filho eu creio quo tambem sorri e tudo acabou em pura galhofa virgilia estava serena e risonha tinha o aspecto das vidas immaculadas nenhum olhar suspeito nenhum gesto que pudesse denunciar nada
2961_13488_000602	dada a hora achou se reunida uma sociedade selecta o juiz de fóra tres ou quatro officiaes militares alguns commerciantes e lettrados varios funccionarios da administração
2961_13488_000603	um sujeito que mas não anticipemos os successos acabemos de uma vez com o nosso emplasto capitulo iv a idéa fixa a minha idéa depois de tantas cabriolas constituira se idéa fixa deus te livre leitor de uma idéa fixa
2961_13488_000604	capitulo xl na sege nisto entrou o moleque trazendo o relogio com o vidro novo era tempo já me custava estar alli dei uma moedinha de prata ao moleque disse a marcella que voltaria n'outra occasião e saí a passo largo
2961_13488_000605	e eu attrahido pelo chocalho de lata que minha mãe agitava diante de mim lá ia para a frente cahe aqui cahe acolá e andava provavelmente mal mas andava e fiquei andando
2961_13488_000606	quando esta palavra echoou como um trovão naquelle immenso valle afigurou se me que era o ultimo som que chegava a meus ouvidos pareceu-me sentir a decomposição subita de mim mesmo então encarei a com olhos supplices e pedi mais alguns annos
2961_13488_000607	o christianismo é bom para as mulheres e os mendigos e as outras religiões não valem mais do que essa orçam todas pela mesma vulgaridade ou fraqueza o paraiso christão é um digno emulo do paraiso mussulmano
2961_13488_000608	prudencio um moleque de casa era o meu cavallo de todos os dias punha as mãos no chão recebia um cordel nos queixos á guisa de freio eu trepava lhe ao dorso com uma varinha na mão
2961_13488_000609	nada acredita me perguntei eu no fim não e digo-lhe que faz bem quiz retel a mas o olhar que me lançou não foi já de supplica senão de imperio
2961_13488_000610	virgilia tinha agora a belleza da velhice um ar austero e maternal estava menos magra do que quando a vi pela ultima vez n'uma festa de s joão na tijuca
2961_13488_000611	então sim então talvez se póde gozar deveras porque entre uma e outra dessas duas illusões melhor é a que se gosta sem doer
2961_13488_000612	entrei logo a pensar na filha de d eusebia no susto que tivera e na dignidade que apezar delle soube conservar a borboleta depois de esvoaçar muito em torno de mim pousou me na testa sacudi a ella foi pousar na vidraça
2961_13488_000613	fantastica outras vezes amuava se a um canto com os olhos fitos no ar uns olhos em que de longe em longe fulgurava um raio persistente da razão triste como uma lagrima morreu pouco tempo depois em minha casa jurando e repetindo sempre
2961_13488_000614	fui eugenia desataviou se nesse dia por minha causa creio que foi por minha causa se é que não andava muita vez assim nem as bichas de ouro que trazia na vespera lhe pendiam agora das orelhas duas orelhas finamente recortadas n'uma cabeça de
2961_13488_000615	os instantes perdidos mas os minutos ganhados e de certo tempo em diante não ouvi cousa nenhuma porque o meu pensamento ardiloso e traquinas saltou pela janella fóra e bateu as azas na direcção da casa de virgilia ahi achou ao peitoril
2961_13488_000616	exprimindo assim o beneficio que me daria na vida e na morte o simples acto da restituição e eu espraiava todo o meu ser na contemplação daquelle acto revia me nelle achava-me bom talvez grande
2961_13488_000617	ao contacto de tal homem as damas sentiam-se superfinas os varões olhavam no com respeito alguns com inveja não raros com incredulidade
2961_13488_000618	e as glosas succediam-se como bategas d'agua obrigando me a recolher o desejo e o pedido pacientei quanto pude e não pude muito pedi em voz baixa o doce emfim bradei berrei bati com os pés
2961_13488_000619	e accrescentei um versiculo ao evangelho bemaventurados os que não descem porque delles é o primeiro beijo das damas com effeito foi no domingo esse primeiro beijo de eugenia
2961_13488_000620	e enfaixado fui desde logo o heroe da nossa casa cada qual prognosticava a meu respeito o que mais lhe quadrava ao sabor meu tio joão o antigo official de infantaria achava-me um certo olhar de bonaparte cousa que meu pae não pôde ouvir sem
2961_13488_000621	e porque era das que resistem muito só agora começavam os cabellos escuros a intercalar se de alguns fios de prata anda visitando os defuntos disse-lhe eu ora defuntos respondeu virgilia com um muxoxo e depois de me apertar as mãos
2961_13488_000622	nada mais quieto nenhuma contorsão violenta nenhuma expressão de odio ou ferocidade a feição unica geral completa era a da impassibilidade egoista a da eterna surdez a da vontade immovel
2961_13488_000623	cuido que os nomes de ambos foram das primeiras cousas que aprendi e certamente os dizia com muita graça ou revelava algum talento precoce porque não havia pessoa extranha diante de quem me não obrigassem a
2961_13488_000624	raivas se as tinha ficavam encerradas no coração ao mesmo tempo nesse rosto de expressão glacial havia um ar de juventude mescla de força e viço diante do qual me sentia eu o mais debil e descrepito dos seres
2961_13488_000625	chegando ao rio de janeiro a noticia da primeira quéda de napoleão houve naturalmente grande abalo em nossa casa mas nenhum chasco ou remoque os vencidos testemunhas do regozijo publico julgaram mais decoroso o silencio alguns foram além e bateram palmas
2961_13488_000626	casou disse marcella no fim de minha narração ainda não respondi seccamente marcella lançou os olhos para a rua com a atonia de quem reflecte ou relembra
2961_13488_000627	quinze dias depois estive com elle continuava inconsolavel e dizia que a dor grande com que deus o castigára fora ainda augmentada com a que lhe infligiram os homens
2961_13488_000628	o actual ministerio como aliás qualquer outro composto de eguaes capacidades parecia-lhe destinado a promover a felicidade publica não podia acabar de crer nos meus olhos
2961_13488_000629	o que importa é a expressão geral do meio domestico e essa ahi fica indicada vulgaridade de caracteres amor das apparencias rutilantes do arruido frouxidão da vontade dominio do capricho e o mais
2961_13488_000630	eram as formas varias de um mal que ora mordia a viscera ora mordia o pensamento e passeiava eternamente as suas vestes de arlequim em derredor da especie humana
2961_13488_000631	tentei fallar mas apenas pude grunhir esta pergunta anciosa onde estamos já passámos o eden bem paremos na tenda de abrahão
2961_13488_000632	como ostentasse certa arrogancia não se distinguia bem se era uma criança com fumos de homem se um homem com ares de menino ao cabo era um lindo garção
2961_13488_000633	inclinei-me a attenual a a explical a a classifical a por partes a entendel a não segundo um padrão rigido mas ao sabor das circumstancias e logares
2961_13488_000634	beneficio tão insoluvel que o quincas borba não pôde dar com elle apezar de estudal o longamente e com boa vontade ora adeus concluiu nem todos os problemas valem cinco minutos de attenção quanto á censura de ingratidão o quincas borba rejeitou a inteiramente
2961_13488_000635	não é impossivel que meu pae lhe ouvisse tal declaração creio todavia que o sentimento paterno é que o induziu a gratifical a com duas meias dobras
2961_13488_000636	eu via isso porque arrastava os olhos da compota para elle e delle para a compota como a pedir-lhe que m'a servisse mas fazia-o em vão elle não via nada via-se a si mesmo
2961_13488_000637	e ahi é que era um desfiar de anecdotas de ditos de perguntas e um estalar de risadas que ninguem podia ouvir porque o lavadouro ficava muito longe de casa
2961_13488_000638	os seculos desfilavam n'um turbilhão e não obstante porque os olhos do delirio são outros eu via tudo o que passava diante de mim flagellos e delicias desde essa cousa que se chama gloria até essa outra que se chama miseria
2961_13488_000639	minha é minha disse eu commigo logo que a passei a outro cavalheiro e confesso que durante o resto da noite foi-se-me a idéa entranhando no espirito não á força de martello mas de verruma que é mais
2961_13488_000640	uma especie de ironia mephistophelica que me aborreceu muito dei de hombros saí do quarto mas tornando lá minutos depois e achando a ainda no mesmo logar senti um repellão dos nervos lancei mão de uma toalha bati lhe e ella caíu
2961_13488_000641	capitulo xiii um salto unamos agora os pés e demos um salto por cima da eschola a enfadonha eschola onde aprendi a ler escrever contar dar cacholetas apanhal as e ir fazer diabruras ora nos morros ora nas praias
2961_13488_000642	trazia as justamente na algibeira mas não as podia ler naquella occasião o que afiançava é que podiamos contar só nessa viagem uns cento e vinte negros pelo menos
2961_13488_000643	bebeu o ultimo gole de café repotreou se e entrou a fallar de tudo do senado da camara da regencia da restauração do evaristo de um coche que pretendia comprar da nossa casa de
2961_13488_000644	o rosto dizia-me que não ao mesmo tempo os olhos me contavam que já outr'ora como hoje ardia nelles a flamma da cobiça os meus é que não souberam ver lha eram olhos da primeira edição
2961_13488_000645	verdade é que tinha a alma decrepita vendera tudo quasi tudo um homem que a amára outr'ora e lhe morreu nos braços deixara lhe aquella loja de ourivesaria
2961_13488_000646	e depois cogitações de enfermo dado que chegassemos ao fim indicado não era impossivel que os seculos irritados com lhes devassarem a origem me esmagassem entre as unhas que deviam ser tão seculares como elles
2961_13488_000647	disse ella então que desejava ter a protecção dos conhecidos de outro tempo ponderou que mais tarde ou mais cedo era natural que me casasse e afiançou que me daria finas joias por preços baratos
2961_13488_000648	braz cubas virgilia braz cubas virgilia braz cubas virgilia
2961_13488_000649	chimicos como não tinha remorsos tinha vontade de ser ministro de estado comtudo se hei de acabar este capitulo direi que não quizera ser achilles nem lady macbeth e que a ser alguma cousa antes achilles antes passear ovante o cadaver do que a mancha
2961_13488_000650	um e outro descendiam de velhas familias do norte e honravam devéras o sangue que lhes corria nas veias outr'ora derramado na guerra
2961_13488_000651	meu pae puxou me as orelhas disfarçadamente irritado devéras com a indiscrição mas no dia seguinte ao almoço lembrando o caso sacudiu me o nariz a rir ah brejeiro ah brejeiro
2961_13488_000652	em casa quando lá ia passar alguns dias não poucas vezes me aconteceu achal o no fundo da chacara no lavadouro a palestrar com as escravas que batiam roupa
2961_13488_000653	manhã quasi no estado em que eu o vira no passeio publico a differença é que o olhar era outro vinha demente contou-me que para o fim de aperfeiçoar o humanitismo queimára o manuscripto todo e ia recomeçal o a parte dogmatica ficava completa embora não
2961_13488_000654	vi-lhe um movimento como para esconder-se ou fugir era o instincto da vaidade que não durou mais de um instante marcella accommodou se e sorriu quer comprar alguma cousa disse ella estendendo me a mão
2961_13488_000655	não a conheci logo era difficil ella porém conheceu-me apenas lhe dirigi a palavra os olhos chisparam e trocaram a expressão usual por outra meia doce e meia triste
2961_13488_000656	dizia isto mettendo a mão no seio e tirando uma cruz fina de ouro presa a uma fita azul e pendurada ao collo mas essa cruz observei eu não me disseste que era teu pae que marcella abanou a cabeça com um ar de lastima não percebeste que era mentira que eu
2961_13488_000657	a primeira vez que pude falar a virgilia depois da presidencia foi n'um baile em trazia um soberbo vestido de gorgorão azul e ostentava ás luzes o mesmo par de hombros de outro tempo não era a frescura da primeira edade
2961_13488_000658	tenham paciência daqui a pouco lhes direi quem era a terceira senhora contentem se de saber que essa anonyma ainda que não parenta padeceu mais do que as parentas é verdade padeceu mais
2961_13488_000659	casado interrompeu sentenciosamente meu pae mas seja como queres estou por tudo fico certo de que a vista fará fé demais a noiva e o casamento são a mesma cousa isto é não saberás depois vá aceito a dilação comtanto que comtanto que
2961_13488_000660	não disse preços baratos mas usou uma metaphora delicada e transparente entrei a desconfiar que não padecera nenhum desastre
2961_13488_000661	uns tremiam outros rosnavam o quincas borba porém deixava-se estar quieto com os olhos espetados no ar uma flôr o quincas borba nunca em minha infancia nunca em toda a minha vida achei um menino mais gracioso inventivo e travesso
2961_13488_000662	as bexigas tinham sido terriveis os signaes grandes e muitos faziam saliencias e encarnas declives e acclives e davam uma sensação de lixa grossa enormemente grossa
2961_13488_000663	a mãe calou-se a filha respondeu sem titubear não senhor sou coxa de nascença mandei me a todos os diabos chamei me desastrado grosseirão
2961_13488_000664	mostrou que eu ia collocar me n'uma situação difficil e de certa maneira trancar as portas do parlamento o ministerio não só lhe parecia excellente o que aliás podia não ser a minha opinião mas com certeza viveria muito e que podia eu ganhar com indispol o contra mim
