4367_3648_000000	os outros então são muitos mais de um é com certeza já vi dois um rapaz alto louro rosado elegante
4367_3648_000174	deve ser o gouveia e o outro baixinho cheio de corpo de bigode e pêra pince-nez azul deve ser o magalha es dois amigos
4367_3648_000175	quando via ao longe um sujeito qualquer parecido com o mendes punha-se a tremer que nem varas verdes um dia tendo descido de um tílburi no largo da carioca para comprar cigarros encontrou na charutaria o mendes que comprava charutos
4367_3648_000176	sentiu alguma coisa que se assemelhava ao remorso o mal-estar que acomete o espírito e se reflete no corpo do homem todas as vezes que este pratica um ato inconfessável e aquilo era uma quase traição
4367_3648_000177	o artigo seria um desabafo menos do brio que da vaidade e escrevendo o qualquer pena hábil poderia efetivamente evitar uma injúria grave
4367_3648_000178	a cena passa-se na roça a uma légua da estação menos importante da estrada de ferro leopoldina lugarejo sem denominação geográfica mas que pertence ao município do rio bonito e aqui o digo para que os leitores não suponham que estou inventando uma historieta
4367_3648_000179	mas o menino de pé junto à mesa do almoço esperava a resposta era impossível fugir diga ao seu patrão que daqui a pouco lá estarei o menino foi-se
4367_3648_000180	o venturoso amante em pouco tempo se convenceu de que as mulheres mais caras são justamente as que se dão de graça os seus magros cobres de amanuense não chegavam para aquele carro escandalosamente misterioso e para o hotel com duas entradas
4367_3648_000181	minha filha disse ele tenho notado que aquele homem passa amiudadas vezes por nossa casa e não creio que seja pelos meus bonitos olhos gilberta corou e sorriu
4367_3648_000182	o norberto quis descer mas a rapidez com que o bonde rodava era tamanha que não se atreveu chegando ao poste de parada ele atirou-se à rua e deitou a correr para o lugar onde vira a mulher mas onde estava ela tinha desaparecido
4367_3648_000183	gilberta que sem ser pressentida ouvira a conversa aproximou-se do marido e disse-lhe e creia viegas que se você houvesse morrido a minha viuvez seria eterna
4367_3648_000184	desconfiou da coisa e foi dizer-lhe mas para que me chamará ele o seu desejo era não acudir ao chamado alegar que estava doente ou não alegar coisa alguma e lá não ir
4367_3648_000185	ela preveniu o chagas com uma joelhada mais enérgica e voltando-se para o sonolento disse-lhe acorda barroso que estamos quase apearam-se e o chagas tomou nota do número da casa
4367_3648_000186	ficou de repente muito pálido e trêmulo e quis fugir mas o outro agarrou-o por um braço dizendo-lhe com muita brandura faça favor venha cá não se assuste não trema não lhe quero mal ouça-me é para o seu bem
4367_3648_000187	eu quisera que ritinha não pertencesse a nenhum outro homem matá-la para quê ela desaparecerá sem morrer nunca mais terá dezoito anos a idade transforma nos tal qual a morte não imaginas como tua mãe foi bela
4367_3648_000188	ele abriu-a e leu romualdo preciso falar-lhe com a maior urgência peço-lhe que dê um pulo ao nosso escritório hoje mesmo logo que possa recado do joão fernandes saraiva
4367_3648_000189	e ritinha foram companheiros de infância eram vizinhos brincaram juntos e juntos cresceram tinham a mesma idade depois de dezessete anos aquela afeição tomou nele nela não um caráter mais grave transformou-se em amor
4367_3648_000190	se fosse um especulador um aventureiro mal intencionado procuraria casamento vantajoso sabia que gilberta era pobre casava-se por amor o casamento ficou assentado
4367_3648_000191	quando nas alturas do instituto pasteur viu passar oh felicidade oh ventura viu passar na rua a mulher que tanto o sobressaltava pare pare gritou ele ao condutor aqui não posso vamos ao poste de parada
4367_3648_000192	ninguém o conhecia em santa catarina e ele de ordinário taciturno e reservado a ninguém se queixara de haver perdido a viagem de modo que pôde executar perfeitamente o seu plano
4367_3648_000193	não sei ele disse que era o ministro era que deseja a senhora por que me tratas por senhora não posso dizer neste momento por quê
4367_3648_000194	sujeito que vivia pode-se dizer de expedientes sem retida certa que lhe desse o direito de constituir família mendigando aqui e acolá no comércio pequenas comissões corretagens e lambugens adventícias
4367_3648_000195	é o senhor chagas sim senhor estão o chamando no telefone e sempre de olhos baixos e carrancudo apontou para o telefone que ficava a alguns passos de distância e fazia ouvir o seu impertinente e desrespeitoso
4367_3648_000196	andou morto por vê-la não que lhe restasse no coração nem no espírito outra coisa senão a saudade que todos nós sentimos da infância e da adolescência queria vê-la por mera curiosidade
4367_3648_000197	para isso foi ter com um negociante rico por nome caldas que tinha sido seu condiscípulo no colégio vitório a quem jamais ocupara embora ele o tratasse com muita amizade e o tuteasse quando raras vezes se encontravam na rua
4367_3648_000198	o sr paulino já se sabe tomou o mesmo bonde e sentou-se ao lado dela que lhe cedeu gentilmente a ponta a sujeita que era matreira percebeu que tinha sido acompanhada e aplanava o terreno para uma explicação
4367_3648_000199	aconteceu porém que um dia o fulgêncio foi tão provocado pelos bonitos olhos de uma senhora que se sentara ao seu lado num bondinho da carris urbanos que se deixou arrastar numa aventura de amor
4367_3648_000200	viu passar na avenida a linda mulher que tanto o impressionara e acompanhou-a até a estação do jardim botânico onde ela tomou um bonde para o leme
4367_3648_000201	atravessando a rua do riachuelo viu entrar no carro o vespasiano acompanhado por uma senhora que era adelaide sem tirar nem pôr paulino conteve o natural sobressalto que lhe causou aquela aparição
4367_3648_000202	talvez indiscreta disse ela o tal paulino é seu amigo e você não sabia o tal paulino sou eu minha senhora sou eu em carne e osso e agradeço-lhe a informação
4367_3648_000203	dali até são cristóvão como não se pudessem falar entenderam se ambos a princípio com os cotovelos e os joelhos depois com os pés e afinal com as próprias mãos que se apertaram furtivamente quando nas alturas do canal do
4367_3648_000204	homem já maduro pai de filhos e tão discreto que não encarava clorinda quando esta apontava ao longe e vinha na direção do carro protegida pela sombrinha e pelo véu
4367_3648_000205	foi o que sucedeu ao nosso flores ritinha não esperou que ele crescesse e aparecesse tendo-se-lhe apresentado um magnífico partido fez-se noiva aos dezoito anos
4367_3648_000206	havia no lugarejo em questão uma palhoça habitada por dois roceiros marido e mulher que todos os domingos iam à povoação mais próxima vender os produtos da sua pequena roça e ouvir missa
4367_3648_000207	e o público admirou essa polêmica em que dois homens discutiam com estilos tão semelhantes que o próprio estilo pareceu harmonizá los o
4367_3648_000208	não ganha bastante para tomar sabre os ombros quaisquer encargos de família e deixa que teu pai seja franco não é lá muito bem visto no comercio não és uma criança nem uma tala que te deixes levar pelos bigodes retorcidos nem pelas bonitas roupas de um homem
4367_3648_000209	como vamos ser felizes mas olha peço-te que não te exponhas nestes primeiros tempos o mendes é ciumento e brutal e mesmo antes de ter certeza de que eu o enganava andava armado de revólver
4367_3648_000210	ali está um relógio continuou o doutor aquele galo todas as vezes que ele cantar dê-lhe uma colher do remédio e adeus não será nada depois de amanhã voltarei para ver o doente
4367_3648_000211	não és rica mas bonita inteligente boa como és não te faltarão pretendentes que te mereçam mais que o tal teobaldo nogueira gilberta fez-se ainda mais rubra mordeu os lábios e não disse palavra
4367_3648_000212	paulino em vão procurava por todos os meios e modos melhorar de vida aumentando o parco rendimento quando um comerciante seu conhecido lhe propôs uma pequena viagem ao rio grande do sul para a liquidação de certo negócio
4367_3648_000213	isso que aí está é uma borracheira mas não é escrito por ele bradou o saraiva aquilo é uma besta que não sabe pegar na pena senão para assinar o nome
4367_3648_000214	assim atamancavam eles a vida pedindo a deus que não lhes desse muita fazenda mas lhes conservasse a saúde ora um belo dia a saúde desapareceu
4367_3648_000215	o marido deixou de fazer considerações críticas sobre o dramalhão que ouvira e começou a cochilar como todos os maridos confiantes alguns metros antes de chegar ao domicílio conjugal
4367_3648_000216	não quero nem de leve contrariar as tuas inclinações casar te ás com o homem seja quem lar que escolheres para marido o teu coração pertence te dispõe dele à vontade
4367_3648_000217	mim só me recebe à tardinha porque à noite o octogenário lá está e esse octogenário é um unhas de fome
4367_3648_000218	quero dizer que gilberta era este o seu nome se enfeitiçou justamente pelo mais insignificante de quantos a requestavam pelo teobaldo nogueira
4367_3648_000219	essas visitas encorajaram necessariamente o sr paulino mas como chegar à fala da sua janela onde ele raras vezes aparecia limitando-se a espiar a vizinha por trás das venezianas
4367_3648_000220	na manhã seguinte o ex jornalista pediu ao dono da pensão que lhe emprestasse o jornal do comércio e viu a sua prosa eu e o sr joão fernandes saraiva assinada pelo caldas
4367_3648_000221	e o sr paulino saltou no largo da lapa no dia seguinte à hora indicada o guarda-livros entrava em casa da vizinha cuja porta achou entreaberta mas por que todo este mistério perguntou a tipa que o recebeu como se o conhecesse de longos anos
4367_3648_000222	ela atalhou-o declarando peremptoriamente que amava aquele homem com todos os seus defeitos com toda a sua pobreza e que jamais seria mulher de outro consultado o oráculo viegas este aconselhou uma estação de águas que distraísse a moça
4367_3648_000223	no dia seguinte o ditoso mancebo colheu todas as informações desejáveis o barroso era um honrado negociante estabelecido perto do mercado
4367_3648_000224	mas a pequena só admitia que ele a visitasse pela manhã pois só pela manhã estava livre do meio-dia em diante pertencia a um velho negociante octogenário que lhe tomava toda a tarde e toda a noite sem lhe tomar mais nada
4367_3648_000225	pois fale respondeu ela fazendo com o leque o mesmo que o outro fazia com a rósea folha vespertina aqui não em sua casa quando há de ser
4367_3648_000226	ela tem um noivo mas este não se oporá talvez a uma fortuna da qual participará mais tarde a situação desse homem será modificada num ponto apenas em vez de se casar com uma maça solteira casar-se-á com uma senhora viuva e acrescentou viúva e virgem
4367_3648_000227	o conselheiro ergueu-se para desligar o aparelho mas levou o fone ao ouvido e ainda ouviu que modos são esses nunca me trataste assim já não me amas e eu que por tua causa enganei o meu pobre marido está tudo acabado entre nós
4367_3648_000228	tendo porém desembarcado em santa catarina perdeu não sei como o paquete e foi obrigado a esperar por outro antes que esse outro chegasse recebeu a notícia de que o rio apa naufragara não escapando nenhum homem da tripulação nem passageiro algum
4367_3648_000229	e queres tu que seja eu quem escreva esse artigo sim ganharás uns cobres que não te farão mal algum a essa palavra cobres o romualdo teve um estremeção de alegria mas caiu em si
4367_3648_000230	e se te chamei foi para pedir-te que escrevas a resposta eu tu sim eu podia escrever mas que queres estou fora de mim
4367_3648_000231	um deles particularmente o gaspar era tão grave que raramente sorria poucas vezes conversava e parecia ter o dobro da sua idade entretanto era o único dos moradores daquela casa que passava as noites fora
4367_3648_000232	naquela noite o flores entrou em casa oprimido por um sentimento penoso que não podia definir tinham-lhe dito que estava no rio de janeiro a ritinha aquela interessante menina que há trinta anos lá na província fora o seu primeiro amor e a sua primeira mágoa
4367_3648_000233	efetivamente vespasiano apesar de ser muito amigo de paulino não o freqüentava tal era a aversão que lhe causava a presença de adelaide não a podia ver
4367_3648_000234	aqui na casa algum empregado chamado chagas respondi-lhe que sim e ele disse-me pois vá chamá-lo que diabo será perguntou o amanuense aos seus botões e foi para o gabinete do ministro tremia que nem varas verdes
4367_3648_000235	fazendo por sua própria conta concessões recíprocas lembrando a velha amizade e com tanto engenho se houve que os dois contendores se reconciliaram acabando amigos e arrependidos de terem dito um ao outro coisas desagradáveis em letra de forma
4367_3648_000236	as hemoptises tinham cessado depois de casado com gilberta o viegas sentiu-se tão bem que desconfiou dos seus médicos e mandou chamar um dos nossos príncipes da ciência para examiná-lo
4367_3648_000237	aquelas banhas flácidas agitadas pelo riso tremiam convulsivamente dentro da seda do vestido manchado pelo suor dos sovacos o
4367_3648_000238	redigiu o artigo que satisfez plenamente muito bem exclamou o caldas depois de três leituras consecutivas se eu soubesse escrever escreveria isto mesmo apanhaste perfeitamente a questão
4367_3648_000239	é espanhola também a minha mora na rua do riachuelo a minha também se disseres que o nome dela é mercedes aposto que somos rivais é efetivamente mercedes que ela se chama
4367_3648_000240	o melhor era fazer ver a gilberta por meios indiretos que a sua escolha poderia ser melhor não ataque de frente a questão não bata com o pé não invoque a sua autoridade de pai
4367_3648_000241	comédia ritinha ria-se de tudo de todas as frases de todos os gestos de todas as jogralices dos atores com uma complacência de espectadora mal-educada e por isso mesmo pouco exigente
4367_3648_000242	ergueu-se pela manhã vestiu-se apalpou a algibeira e não encontrou a arma oh procurou a no chão atrás do baú por baixo da cômoda nada
4367_3648_000243	o negociante ouviu-o e disse-lhe tratarei mais tarde de arranjar um emprego que te sirva por enquanto preciso da tua pena sim da tua pena apareceste ao pintar foste a sopa que me caiu no mel
4367_3648_000244	e ofereceu aos companheiros um almoço regado por diversas bebidas que tinham tanto de finas como de capitosas beberam todos inclusive o austero gaspar mas não se excederam embora ficassem mais expansivos que de costume
4367_3648_000245	e o caldas expôs longamente ao romualdo a queixa que tinha do saraiva tratava-se de uma pequena questão comercial de um capricho tolo que só poderia irritar um contra o outro dois amigos que não conhecessem o que a vida tem de áspero e difícil
4367_3648_000246	o major brígido aceitou o conselho e uma tarde achando-se à janela com sua filha viu passar na rua o teobaldo nogueira que os cumprimentou
4367_3648_000247	o caldas como o saraiva se mostraram cada vez mais generosos e o romualdo nunca em dias de sua vida se viu com tanto dinheiro ambos os contendores lhe diziam escreve escreve eu quero ser o último
4367_3648_000248	foi melhor assim agora sou tua só tua e por toda a vida não estás contente muito estou te achando assim a modo que é a surpresa a comoção a alegria
4367_3648_000249	se algum dia chegasses a ministro ela não te perdoaria não seres presidente da república exageras pode ser mas afianço te que mulher assim não a quisera eu nem pesada a ouro prefiro ficar solteiro
4367_3648_000250	mas não há mas nem meio mas o saraiva nunca saberá que foi escrito por ti tenho escrúpulos deixa lá os teus escrúpulos e ouve de que se trata presta me toda a atenção
4367_3648_000251	o romualdo acabou a sobremesa tomou o café saiu e dirigiu-se ao escritório do saraiva receoso de que este o recebesse com duas pedras na mão
4367_3648_000252	adelaide soltou um longo suspiro e expectorou esta queixa bem alto para que todos a ouvissem meu deus que sina a minha de ter maridos pingas você ainda é pior que o outro
4367_3648_000253	pelo menos morava sozinha e recebia de vez em quando visitas misteriosas de três ou quatro sujeitos discretos que antes de entrar olhavam para trás para adiante e para cima o que era um meio mais seguro de serem observados
